Epoch,loss,Validation loss,Model,Training,split
8,0.4862265288829803,0.4835024178028106,sta_lta_detector,instance,0
9,0.468519926071167,0.4597621560096741,sta_lta_detector,instance,0
10,0.4394559562206268,0.4346629977226257,sta_lta_detector,instance,0
11,0.4233990907669067,0.4248331487178802,sta_lta_detector,instance,0
12,0.4168286621570587,0.4200213551521301,sta_lta_detector,instance,0
13,0.4135153889656067,0.4183079302310943,sta_lta_detector,instance,0
14,0.4113776385784149,0.4158895611763,sta_lta_detector,instance,0
15,0.4071696400642395,0.4063283503055572,sta_lta_detector,instance,0
16,0.3954907059669494,0.4017944931983948,sta_lta_detector,instance,0
17,0.387353777885437,0.3905979692935943,sta_lta_detector,instance,0
18,0.3819259405136108,0.3845257461071014,sta_lta_detector,instance,0
19,0.3782210946083069,0.382672518491745,sta_lta_detector,instance,0
0,1.0462340116500854,1.5622986555099487,sta_lta_detector,instance,1
1,0.924706757068634,0.8556258082389832,sta_lta_detector,instance,1
2,0.8161303400993347,0.7891090512275696,sta_lta_detector,instance,1
3,0.7301794290542603,0.6671999096870422,sta_lta_detector,instance,1
4,0.6211769580841064,0.5946794748306274,sta_lta_detector,instance,1
5,0.5756906270980835,0.5618864297866821,sta_lta_detector,instance,1
6,0.5298498272895813,0.5079082250595093,sta_lta_detector,instance,1
7,0.4920065701007843,0.4809209704399109,sta_lta_detector,instance,1
8,0.4687572419643402,0.4634575843811035,sta_lta_detector,instance,1
9,0.4570484757423401,0.4554710984230041,sta_lta_detector,instance,1
10,0.438064694404602,0.4343214631080627,sta_lta_detector,instance,1
11,0.4242063760757446,0.4224558174610138,sta_lta_detector,instance,1
12,0.4131672978401184,0.4157496988773346,sta_lta_detector,instance,1
13,0.4074331521987915,0.4125700891017914,sta_lta_detector,instance,1
14,0.404524952173233,0.4087855219841003,sta_lta_detector,instance,1
15,0.402290940284729,0.4091962873935699,sta_lta_detector,instance,1
16,0.4006382822990417,0.4066313803195953,sta_lta_detector,instance,1
17,0.3993646800518036,0.4107766449451446,sta_lta_detector,instance,1
18,0.3978630006313324,0.4041265547275543,sta_lta_detector,instance,1
19,0.3879597783088684,0.3971963226795196,sta_lta_detector,instance,1
0,1.044185996055603,3.474483728408813,sta_lta_detector,instance,2
1,0.9271090030670166,0.8426669239997864,sta_lta_detector,instance,2
2,0.8073326945304871,0.7815408706665039,sta_lta_detector,instance,2
3,0.7593724131584167,0.7395275235176086,sta_lta_detector,instance,2
4,0.7084945440292358,0.6404348015785217,sta_lta_detector,instance,2
5,0.5868260264396667,0.5569167733192444,sta_lta_detector,instance,2
6,0.545683741569519,0.5293726921081543,sta_lta_detector,instance,2
7,0.5099362134933472,0.4984133243560791,sta_lta_detector,instance,2
8,0.4740581810474396,0.4566441178321838,sta_lta_detector,instance,2
9,0.4529274404048919,0.451630562543869,sta_lta_detector,instance,2
10,0.447991132736206,0.446315735578537,sta_lta_detector,instance,2
11,0.4397429823875427,0.4285397529602051,sta_lta_detector,instance,2
12,0.4210787117481231,0.4181821048259735,sta_lta_detector,instance,2
13,0.4105656445026397,0.4092142283916473,sta_lta_detector,instance,2
14,0.4063964188098907,0.4077321887016296,sta_lta_detector,instance,2
15,0.4041900038719177,0.4061246514320373,sta_lta_detector,instance,2
16,0.4024902880191803,0.4036608040332794,sta_lta_detector,instance,2
17,0.4009749889373779,0.4018802046775818,sta_lta_detector,instance,2
18,0.3994912207126617,0.4016148149967193,sta_lta_detector,instance,2
19,0.3817853927612304,0.3788992464542389,sta_lta_detector,instance,2
0,1.0456995964050293,1.0249727964401243,sta_lta_detector,instance,3
1,0.9067623019218444,0.8364467024803162,sta_lta_detector,instance,3
2,0.7572064399719238,0.695960283279419,sta_lta_detector,instance,3
3,0.6418808102607727,0.6081657409667969,sta_lta_detector,instance,3
4,0.5894309878349304,0.5821995139122009,sta_lta_detector,instance,3
5,0.5455670952796936,0.5246116518974304,sta_lta_detector,instance,3
6,0.5091487169265747,0.5001780390739441,sta_lta_detector,instance,3
7,0.4856173098087311,0.4762880504131317,sta_lta_detector,instance,3
8,0.4681259095668793,0.4645355343818664,sta_lta_detector,instance,3
9,0.4582785367965698,0.4575608670711517,sta_lta_detector,instance,3
10,0.4436002969741821,0.4400307238101959,sta_lta_detector,instance,3
11,0.4272480309009552,0.423944890499115,sta_lta_detector,instance,3
12,0.4162869453430176,0.4169656336307525,sta_lta_detector,instance,3
13,0.4107212722301483,0.4151037931442261,sta_lta_detector,instance,3
14,0.4073529541492462,0.4172551333904266,sta_lta_detector,instance,3
15,0.4052328169345855,0.41077321767807,sta_lta_detector,instance,3
16,0.4036183655261993,0.4117792844772339,sta_lta_detector,instance,3
17,0.4023255109786987,0.4095799922943115,sta_lta_detector,instance,3
18,0.4012480974197387,0.4117701947689056,sta_lta_detector,instance,3
19,0.4002640843391418,0.410017192363739,sta_lta_detector,instance,3
0,1.042933225631714,1.326298713684082,sta_lta_detector,instance,4
1,0.935645878314972,0.8738856911659241,sta_lta_detector,instance,4
2,0.8079848289489746,0.7335107326507568,sta_lta_detector,instance,4
3,0.6941735744476318,0.6461930871009827,sta_lta_detector,instance,4
4,0.615509569644928,0.5967297554016113,sta_lta_detector,instance,4
5,0.5864219069480896,0.5775265693664551,sta_lta_detector,instance,4
6,0.5539253950119019,0.5367320775985718,sta_lta_detector,instance,4
7,0.5210373401641846,0.5110633969306946,sta_lta_detector,instance,4
8,0.49898162484169,0.4867120385169983,sta_lta_detector,instance,4
9,0.4798803925514221,0.4754400551319122,sta_lta_detector,instance,4
10,0.4662234783172607,0.45817431807518,sta_lta_detector,instance,4
11,0.4479840397834778,0.4425284564495086,sta_lta_detector,instance,4
12,0.433733195066452,0.4259805381298065,sta_lta_detector,instance,4
13,0.4224792122840881,0.4182901084423065,sta_lta_detector,instance,4
14,0.4178719222545624,0.4173226654529571,sta_lta_detector,instance,4
15,0.4126887321472168,0.4101482927799225,sta_lta_detector,instance,4
16,0.4107576310634613,0.4089640378952026,sta_lta_detector,instance,4
17,0.4084567129611969,0.4092673361301422,sta_lta_detector,instance,4
18,0.4048953354358673,0.3988915979862213,sta_lta_detector,instance,4
19,0.3969650566577911,0.3949954211711883,sta_lta_detector,instance,4
0,0.990066945552826,0.904367983341217,sta_lta_detector,stead,0
1,0.8401281237602234,0.8029735088348389,sta_lta_detector,stead,0
2,0.7791878581047058,0.7464703917503357,sta_lta_detector,stead,0
3,0.7250217199325562,0.7043125033378601,sta_lta_detector,stead,0
4,0.6933804154396057,0.68840491771698,sta_lta_detector,stead,0
5,0.6564999222755432,0.6050764918327332,sta_lta_detector,stead,0
6,0.5765901803970337,0.5633947253227234,sta_lta_detector,stead,0
7,0.5506397485733032,0.5361171960830688,sta_lta_detector,stead,0
8,0.5166730880737305,0.5114637613296509,sta_lta_detector,stead,0
9,0.5036432147026062,0.5047838091850281,sta_lta_detector,stead,0
10,0.4979482591152191,0.4970336258411407,sta_lta_detector,stead,0
11,0.4930908381938934,0.4917317628860473,sta_lta_detector,stead,0
12,0.4818029701709747,0.476921945810318,sta_lta_detector,stead,0
13,0.469717800617218,0.4664767980575561,sta_lta_detector,stead,0
14,0.4574509561061859,0.459772914648056,sta_lta_detector,stead,0
15,0.4496091902256012,0.4522066712379455,sta_lta_detector,stead,0
16,0.444945752620697,0.4504359066486358,sta_lta_detector,stead,0
17,0.4412365257740021,0.4462630152702331,sta_lta_detector,stead,0
18,0.438178688287735,0.4472502171993255,sta_lta_detector,stead,0
19,0.4355478286743164,0.4439339637756347,sta_lta_detector,stead,0
0,1.041149377822876,0.9691457152366638,sta_lta_detector,stead,1
1,0.9010319709777832,0.8390487432479858,sta_lta_detector,stead,1
2,0.7908799052238464,0.7624198794364929,sta_lta_detector,stead,1
3,0.6989917755126953,0.6646136045455933,sta_lta_detector,stead,1
4,0.6256981492042542,0.6052246689796448,sta_lta_detector,stead,1
5,0.5777784585952759,0.5495972633361816,sta_lta_detector,stead,1
6,0.5294628143310547,0.5175374746322632,sta_lta_detector,stead,1
7,0.5117232203483582,0.5099425315856934,sta_lta_detector,stead,1
8,0.5060453414916992,0.5001596808433533,sta_lta_detector,stead,1
9,0.4887207448482513,0.4803557097911834,sta_lta_detector,stead,1
10,0.4701958894729614,0.465705394744873,sta_lta_detector,stead,1
11,0.4621879756450653,0.4613536298274994,sta_lta_detector,stead,1
12,0.4590961039066314,0.4589067101478576,sta_lta_detector,stead,1
13,0.4566605389118194,0.45699542760849,sta_lta_detector,stead,1
14,0.4547863006591797,0.4559706747531891,sta_lta_detector,stead,1
15,0.4531903564929962,0.4545417726039886,sta_lta_detector,stead,1
16,0.4518108069896698,0.4541541039943695,sta_lta_detector,stead,1
17,0.4505701959133148,0.4528872668743133,sta_lta_detector,stead,1
18,0.4495710432529449,0.4534896910190582,sta_lta_detector,stead,1
19,0.4486992359161377,0.4541800320148468,sta_lta_detector,stead,1
0,1.0255497694015503,0.9353486895561218,sta_lta_detector,stead,2
1,0.8523280024528503,0.7736428380012512,sta_lta_detector,stead,2
2,0.7159808874130249,0.6578933000564575,sta_lta_detector,stead,2
3,0.6252161860466003,0.5970770120620728,sta_lta_detector,stead,2
4,0.5636025071144104,0.5257919430732727,sta_lta_detector,stead,2
5,0.5189756155014038,0.5126560926437378,sta_lta_detector,stead,2
6,0.5077700614929199,0.482353925704956,sta_lta_detector,stead,2
7,0.4755332469940185,0.4693261384963989,sta_lta_detector,stead,2
8,0.4687136113643646,0.4656540155410766,sta_lta_detector,stead,2
9,0.4654581546783447,0.4635300636291504,sta_lta_detector,stead,2
10,0.4630990028381347,0.4617763757705688,sta_lta_detector,stead,2
11,0.4611630439758301,0.4602623283863067,sta_lta_detector,stead,2
12,0.459447294473648,0.4587266743183136,sta_lta_detector,stead,2
13,0.4578153491020202,0.4572757184505462,sta_lta_detector,stead,2
14,0.4560060501098633,0.4528412222862243,sta_lta_detector,stead,2
15,0.4395160377025604,0.4309819638729095,sta_lta_detector,stead,2
16,0.4277413189411163,0.4251163899898529,sta_lta_detector,stead,2
17,0.4224148094654083,0.4205799400806427,sta_lta_detector,stead,2
18,0.4198490977287292,0.4187061786651611,sta_lta_detector,stead,2
19,0.4182198345661163,0.4176439046859741,sta_lta_detector,stead,2
0,1.019496202468872,0.9284330010414124,sta_lta_detector,stead,3
1,0.8373505473136902,0.7632203698158264,sta_lta_detector,stead,3
2,0.7093344926834106,0.6500638127326965,sta_lta_detector,stead,3
3,0.62200927734375,0.609329879283905,sta_lta_detector,stead,3
4,0.5662821531295776,0.5251453518867493,sta_lta_detector,stead,3
5,0.503419816493988,0.4842095673084259,sta_lta_detector,stead,3
6,0.4776044487953186,0.4731736481189728,sta_lta_detector,stead,3
7,0.4706920087337494,0.4686911106109619,sta_lta_detector,stead,3
8,0.465924859046936,0.4599237442016601,sta_lta_detector,stead,3
9,0.4554131329059601,0.4488382041454315,sta_lta_detector,stead,3
10,0.4439335167407989,0.4378291666507721,sta_lta_detector,stead,3
11,0.4349864423274994,0.4317034780979156,sta_lta_detector,stead,3
12,0.4297327995300293,0.4282416999340057,sta_lta_detector,stead,3
13,0.4269540905952453,0.4258922934532165,sta_lta_detector,stead,3
14,0.4252663254737854,0.4237414896488189,sta_lta_detector,stead,3
15,0.4239197671413421,0.4225804209709167,sta_lta_detector,stead,3
16,0.4227643311023712,0.4216609895229339,sta_lta_detector,stead,3
17,0.4217138886451721,0.4204246401786804,sta_lta_detector,stead,3
18,0.4205848276615143,0.4192981123924255,sta_lta_detector,stead,3
19,0.4148066937923431,0.4094144701957702,sta_lta_detector,stead,3
0,1.0427263975143433,0.973877489566803,sta_lta_detector,stead,4
1,0.9071755409240724,0.8312522768974304,sta_lta_detector,stead,4
2,0.7836909294128418,0.7226027846336365,sta_lta_detector,stead,4
3,0.6846194863319397,0.6494570970535278,sta_lta_detector,stead,4
4,0.6235878467559814,0.6084422469139099,sta_lta_detector,stead,4
5,0.5813438892364502,0.5454943180084229,sta_lta_detector,stead,4
6,0.5237269997596741,0.5138415098190308,sta_lta_detector,stead,4
7,0.5101497769355774,0.5088042616844177,sta_lta_detector,stead,4
8,0.5067132711410522,0.5063591599464417,sta_lta_detector,stead,4
9,0.5043818354606628,0.5040556192398071,sta_lta_detector,stead,4
10,0.4925981163978576,0.47817063331604,sta_lta_detector,stead,4
11,0.4692297875881195,0.4654954969882965,sta_lta_detector,stead,4
12,0.463189035654068,0.4628586173057556,sta_lta_detector,stead,4
13,0.4611492753028869,0.4615248739719391,sta_lta_detector,stead,4
14,0.4598036706447601,0.4624615013599396,sta_lta_detector,stead,4
15,0.4586533010005951,0.461272656917572,sta_lta_detector,stead,4
16,0.4576869010925293,0.4615598618984222,sta_lta_detector,stead,4
17,0.456809788942337,0.4597560465335846,sta_lta_detector,stead,4
18,0.45613893866539,0.4597899615764618,sta_lta_detector,stead,4
19,0.4553845524787903,0.4575128257274627,sta_lta_detector,stead,4
